epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,97.3917,1.26775,9.34355,1.39508,0.48164,0.25155,0.08916,0.04097,1.85825,3.05268,1.91869,0.0067,0.0067,0.0067
7,113.337,1.22041,6.97891,1.36571,0.45302,0.21783,0.06403,0.0297,2.15233,3.28907,2.28244,0.00604,0.00604,0.00604
8,129.157,1.1782,6.40958,1.34465,0.31221,0.40358,0.10326,0.05283,1.71122,2.90414,1.71635,0.00538,0.00538,0.00538
9,145.57,1.15783,6.13057,1.33473,0.30758,0.42535,0.10648,0.06391,1.5448,2.78498,1.52476,0.00472,0.00472,0.00472
10,162.125,1.09823,5.68748,1.3028,0.12515,0.43342,0.12202,0.07824,1.4453,2.5362,1.4575,0.00406,0.00406,0.00406
11,178.039,1.07495,5.32418,1.2709,0.13155,0.45751,0.16137,0.10127,1.34427,2.28222,1.32783,0.0034,0.0034,0.0034
12,194.045,1.0531,5.20941,1.25974,0.1914,0.49837,0.17317,0.11326,1.20216,2.15184,1.21949,0.00274,0.00274,0.00274
13,210.074,1.01448,5.15312,1.234,0.19321,0.54269,0.18223,0.12034,1.1102,2.08623,1.15644,0.00208,0.00208,0.00208
14,225.851,0.98141,4.7886,1.20669,0.19745,0.56486,0.19479,0.12978,1.09004,2.00977,1.13983,0.00142,0.00142,0.00142
15,242.097,0.93478,4.78064,1.18721,0.18514,0.59951,0.20487,0.13515,1.05096,1.96575,1.11549,0.00076,0.00076,0.00076
1,26.9143,1.17311,9.84352,1.42369,0.6401,0.08525,0.03248,0.0168,2.51575,14.257,3.5882,0.0507171,0.000497807,0.000497807
2,52.3137,1.39755,9.13021,1.60475,0.49097,0.19483,0.07077,0.03289,2.1483,6.33934,2.55558,0.00121102,0.000991726,0.000991726
3,76.8782,1.38378,8.66639,1.58138,0.31011,0.26486,0.06882,0.03382,2.14715,6.44283,2.29243,0.000975773,0.000975773,0.000975773
4,101.561,1.32651,8.73574,1.51004,0.29862,0.21761,0.06759,0.03043,2.19356,5.94709,2.54617,0.000946048,0.000946048,0.000946048
5,125.728,1.29385,8.61895,1.50052,0.3093,0.21556,0.10454,0.06153,1.71538,5.76902,1.77581,0.000905463,0.000905463,0.000905463
6,150.62,1.23338,8.36764,1.4418,0.24757,0.29766,0.13334,0.07084,1.58862,5.31987,1.65565,0.000855018,0.000855018,0.000855018
7,175.507,1.19163,8.24126,1.42058,0.30903,0.21081,0.12154,0.06604,1.7009,5.3279,1.85568,0.000795954,0.000795954,0.000795954
8,199.947,1.19665,7.95325,1.40636,0.23814,0.36694,0.17499,0.11188,1.3032,4.59916,1.4227,0.000729725,0.000729725,0.000729725
9,224.852,1.13772,7.93054,1.36539,0.21715,0.38912,0.18849,0.12362,1.25531,4.37884,1.34795,0.000657963,0.000657963,0.000657963
10,249.709,1.08682,7.77828,1.33275,0.19825,0.33639,0.19562,0.13253,1.24125,4.40529,1.356,0.000582435,0.000582435,0.000582435
11,273.835,1.04662,7.53171,1.32119,0.20537,0.37253,0.20741,0.14079,1.1471,4.24725,1.27951,0.000505,0.000505,0.000505
12,297.649,1.00799,7.59278,1.28457,0.4729,0.33578,0.2497,0.16405,1.09876,3.99911,1.23404,0.000427565,0.000427565,0.000427565
13,321.798,0.97122,7.47116,1.2666,0.26607,0.50312,0.30121,0.20757,1.05482,3.85644,1.20539,0.000352037,0.000352037,0.000352037
14,345.64,0.9281,7.323,1.23781,0.25751,0.49738,0.30867,0.21311,1.04989,3.87262,1.19914,0.000280275,0.000280275,0.000280275
15,369.846,0.9161,7.20486,1.23215,0.32225,0.53983,0.35177,0.24886,1.02253,3.79161,1.18643,0.000214046,0.000214046,0.000214046
16,394.341,0.89002,7.04123,1.22135,0.29768,0.52044,0.35366,0.24993,1.01656,3.7061,1.18279,0.000154982,0.000154982,0.000154982
17,418.86,0.8694,6.84528,1.20232,0.38471,0.35944,0.37172,0.26175,1.00974,3.65521,1.18111,0.000104537,0.000104537,0.000104537
18,444.366,0.84301,6.7007,1.18943,0.35569,0.37843,0.38649,0.26967,1.0005,3.64763,1.17497,6.39518e-05,6.39518e-05,6.39518e-05
19,469.673,0.83363,6.61509,1.18852,0.36855,0.3775,0.38712,0.2713,1.00271,3.6308,1.17822,3.4227e-05,3.4227e-05,3.4227e-05
20,494.21,0.82758,6.49058,1.18359,0.38661,0.37322,0.38868,0.27223,0.99962,3.61067,1.17684,1.60943e-05,1.60943e-05,1.60943e-05
